#RA                     DEC                               TWOMASS                  GAIA                     Hmag           Tmag
114.346994803816           29.1156680985052           07372324+2906563           879365622956594304           10.031           11.3941
121.718923903881           24.8260741130425           08065253+2449348           680997683604131072           10.311           11.4017
48.6082100964755           -0.551819272131287           03142598-0033062           3265767100358159872           10.295           11.4139
78.5115906321356           25.0293478456659           05140277+2501456           3420509484930246912           8.549           11.4273
7.30242801106206           55.6480592591661           00291258+5538530           421244727337370112           9.25           11.4305
322.509346251792           12.1892852772043           21300224+1211215           1745948461173079680           9.582           11.4364
102.323009049279           -5.53063084057639           06491751-0531502           3101928258530202240           9.588           11.4498
103.063950004447           -5.55016640910804           06521534-0533006           3101892764921526272           9.721           11.4593
248.388715668486           39.2628865932865           16333329+3915465           1331875066502451200           10.595           11.4682
50.5068499343415           -0.342522962520316           03220165-0020329           3262842880464520576           10.161           11.4747
243.704691506562           24.2947837137703           16144913+2417414           1302830195544914304           9.916           11.4761
22.6713439356448           85.8908340158368           01304108+8553271           573902394904047360           9.549           11.4816
56.1485729212722           0.750540875466205           03443568+0045022           3269724556240780800           10.348           11.4818
323.356157394276           0.483484005723955           21332546+0029004           2688118669338970112           10.56           11.4872
27.7761238939549           14.0524563105934           01510620+1403087           2576021809619012096           10.512           11.4922
205.885734382428           27.1151370434318           13433258+2706547           1451598757346928896           10.106           11.4929
251.028286869632           22.0560363522671           16440680+2203217           4565911287778792192           9.927           11.5254
246.797144163783           30.8506984977108           16271136+3051023           1324341930087266176           10.707           11.5273
193.811551674906           28.4149723863338           12551475+2824539           1463988947721702272           10.357           11.5342
53.6305573177037           -5.91764082072969           03343133-0555030           3247331455752180992           9.679           11.5363
166.957612130621           46.4036114441077           11074988+4624137           783245633567288576           9.712           11.5382
124.020541161088           28.9817488803906           08160493+2858542           684419050255761280           8.938           11.5423
205.609998476974           26.791139374218           13422646+2647281           1445581748683448320           10.646           11.5426
225.402070597017           21.5354326125375           15013649+2132075           1261495086690007168           10.893           11.544
164.033106118592           44.826528898837           10560790+4449360           782673887511061760           10.576           11.5576
102.722945091552           -4.29394053813782           06505350-0417380           3102307005924637312           9.286           11.5729
5.28259028277577           54.7570357688107           00210781+5445254           419834839892863488           9.932           11.5779
97.9310172958884           -31.042868897906           06314344-3102342           2893962162483136768           10.163           11.5795
297.783676884393           19.0697984926462           19510808+1904116           1821669559232536832           10.653           11.5859
120.868945510285           28.8218304859684           08032856+2849188           876378421662339200           10.478           11.5907
178.08979309731           34.5300948042737           11522159+3431483           4030978544196513280           10.833           11.6097
176.307466778423           51.3107352657221           11451378+5118387           791698575874413440           10.235           11.6177
77.8590534032823           24.1732956375441           05112616+2410237           3418953706039688960           9.887           11.6245
113.970703675887           21.5966963327829           07355296+2135482           865363857773705472           10.973           11.6314
46.2575645828929           0.413960544164429           03050178+0024503           3266683852537470720           10.472           11.6338
122.602397670654           32.6945218911172           08102456+3241403           902063498619921152           10.291           11.6352
52.3000692843636           45.7363665610132           03291201+4544108           242011648965483904           9.21           11.6358
17.1642052029031           85.8429586081396           01083937+8550346           573890403355784064           9.959           11.6373
197.021871740955           26.4845604202592           13080523+2629045           1459641616184781824           9.771           11.6404
117.284304919206           48.8475817627178           07490823+4850519           933847042588098944           10.554           11.6466
83.6178794979222           -6.17354176118093           05342829-0610247           3017161237784105600           9.906           11.6589
194.414042154818           26.505173070701           12573938+2630186           3958565533024875264           10.011           11.6619
79.2115734849048           -72.5922905416629           05165075-7235325           4651227828128687616           10.756           11.669
52.4876052515649           -0.904217333987209           03295701-0054150           3263267772989508608           10.673           11.6751
121.252280706131           31.4840294987994           08050055+3129023           877877983723918720           10.724           11.6767
77.9045061610004           24.3879079658462           05113708+2423166           3418960852865309312           9.702           11.6769
291.018751411736           38.5697773132292           19240451+3834114           2052653965564685056           10.949           11.6844
161.954094287147           48.2544946925916           10474905+4815166           832384629268579584           10.735           11.6863
221.141104214464           40.0294237130644           14443387+4001464           1488795166995612288           10.607           11.7011
9.90190481135631           83.9938752654376           00393636+8359378           573403835100436736           9.601           11.7065
165.789238517294           49.3337810140421           11030946+4920024           832759150416992640           10.56           11.7081
184.174481625068           45.3953811478915           12164183+4523443           1538979111069711744           10.454           11.7239
103.140294288587           -5.48665272271347           06523367-0529119           3101899323331806848           10.103           11.7256
182.019858075675           17.1304794796234           12080480+1707498           3925702363125390592           10.839           11.7272
102.061028985572           -4.36760445315251           06481465-0422033           3102270069205797760           8.814           11.7437
77.6613073778128           24.9131688817007           05103870+2454473           3419041151575709312           8.714           11.7544
288.447450998917           -1.55316811008961           19134739-0133112           4261506477117098624           10.604           11.759
237.914921055364           28.0049264094365           15513957+2800178           1223769498415631232           10.233           11.7665
218.822229920407           56.5742509646701           14351738+5634272           1610680051024014592           10.684           11.7666
178.262690042537           55.8372086313729           11530309+5550144           841840772865149568           10.514           11.7771
102.125119680348           -4.86262934875665           06483002-0451454           3102189014583533824           9.916           11.7859
194.532012522926           27.5096332990575           12580768+2730344           1460697967685009920           10.92           11.79
257.818250301316           34.0701248468999           17111637+3404126           1335109413098713728           10.784           11.8081
121.76786980915           29.4175873028852           08070428+2925041           876609216024937984           10.812           11.8334
49.017263748075           -0.0465150728276783           03160414-0002475           3266000059384203136           10.95           11.8662
283.166325023592           45.4030459039758           18523991+4524110           2107001760170220032           11.151           11.8715
53.1574542279322           47.2751620976465           03323778+4716306           248877450544721280           9.65           11.8767
295.523892050941           45.3749832492893           19420573+4522302           2079970301164101504           10.36           11.8771
244.875063511687           32.5913737694726           16193001+3235292           1319536995554372736           10.818           11.8832
115.017528237138           28.1712731726304           07400422+2810169           878302876248611328           10.708           11.8899
11.0181327261023           0.382882614039934           00440430+0022586           2549063055816758656           10.615           11.8943
254.858057326996           11.2421590024296           16592592+1114317           4447907752812810880           11.015           11.9073
194.992818288404           27.003997802124           12595831+2700142           1460589635726395648           11.108           11.9178
181.249629090559           18.9661301051349           12045991+1857581           3950870429099160704           11.127           11.9186
79.3742600175998           24.7444250276109           05172981+2444399           3417497853862735360           9.667           11.9301
49.6498427763572           -0.790643803135612           03183594-0047260           3265710166271933440           10.957           11.9312
52.809584105903           -7.38850691687547           03311428-0723189           5168612920167839488           10.519           11.9314
102.821142007042           -4.88769532137695           06511707-0453156           3102083251007655168           9.987           11.9319
295.854464159507           45.8922222582998           19432506+4553319           2080382858538553344           11.057           11.9624
295.076641031807           39.9582364457027           19401839+3957298           2076290751142108800           11.051           11.9692
194.583004550211           28.3247874701086           12581993+2819292           1463834913015113088           11.043           11.9857
294.916072264822           46.9449540104159           19393986+4656419           2128525907175071872           11.125           12.0704
259.288523001315           30.8789846709859           17170925+3052445           1333223858032542848           11.108           12.0803
202.806651418175           25.2744467789164           13311363+2516274           1447962912911887232           10.056           12.0893
158.661690992542           42.7719891585545           10343881+4246191           828804963016899584           10.769           12.0983
49.6893416034564           -0.0494523400490188           03184543-0002576           3265894166966179456           11.048           12.106
102.438305941229           -5.52882040365756           06494519-0531436           3101927571335381248           10.306           12.1122
174.741992591764           49.5845078909038           11385812+4935043           790707774160902528           11.187           12.1191
191.776698831023           13.0238546843978           12470641+1301261           3928994305235773184           10.7           12.1225
297.513418534306           50.0747801186308           19500322+5004293           2087256287983084032           11.481           12.1278
195.296931952549           28.8173102173191           13011125+2849024           1464250425331700480           10.942           12.133
322.341740105562           13.6282478489728           21292196+1337417           1771076944722987392           10.635           12.133
125.863649075927           -1.12721660634555           08232729-0107375           3076346093279013632           10.715           12.1388
78.3900913225711           25.0548782615718           05133362+2503176           3420556008016014208           9.612           12.1457
45.7811125147276           0.417579033414521           03030745+0025033           3266651558678977792           11.252           12.1484
194.575257729776           28.4216528659991           12581804+2825180           1463836768440988928           10.608           12.1513
120.303254035149           27.2181762099532           08011277+2713055           874459262773048960           11.305           12.1542
54.8588168800768           45.4135716918549           03392611+4524488           244733734815913472           10.239           12.1665
206.638689789671           27.0271013007534           13463328+2701377           1451418368720379264           10.843           12.1883
7.77929139865395           85.1470533328649           00310678+8508494           573573954463485440           11.148           12.1889
197.377109967487           58.0143060451444           13093051+5800516           1566626262230791168           10.938           12.1948
84.011523136622           10.0941079518352           05360276+1005389           3339496403044299904           11.018           12.1996
285.05153065216           44.4851769518086           19001235+4429064           2105956094551843200           11.262           12.2085
293.138987261894           39.9257338892146           19323337+3955326           2053246984589229184           11.256           12.2108
195.650432009025           26.5292782478771           13023611+2631455           1460345853383333888           10.146           12.2197
287.970413116966           45.6636403152292           19115288+4539490           2130245646438745728           11.543           12.2263
275.181346132042           -32.3334932052112           18204351-3220005           4045996150754926464           10.361           12.2341
207.25293352051           27.9202855760437           13490072+2755130           1451753238730712960           11.261           12.2386
152.906319269905           27.0712603501262           10113752+2704166           739471945351020032           10.876           12.2407
78.3307434715854           23.771572063958           05131937+2346176           3415914587181031680           9.517           12.2479
256.014224280084           33.4005920891644           17040340+3324023           1337599811231969536           11.462           12.2503
197.728232754761           38.1666385242119           13105477+3810000           1523070277328098688           11.132           12.2565
163.88182618844           44.5919922046741           10553167+4435313           782662273919523456           10.93           12.2583
238.315241755152           42.3887385554955           15531573+4223195           1384003599970133504           11.172           12.2667
54.1512578645833           44.9710104301918           03363630+4458157           244694702153337984           9.612           12.267
11.1713075529247           83.859891278206           00444105+8351358           573214001843189888           10.932           12.2731
24.4479354866126           85.7143090463853           01374757+8542515           573847080021937280           10.819           12.2778
257.054915099802           35.0414502194098           17081317+3502296           1338229487797424384           11.251           12.2811
196.28262824892           28.4954734702222           13050784+2829442           1461166982410317568           11.396           12.2814
147.744709293696           39.0045098333445           09505872+3900162           800387397792987904           10.999           12.2858
193.253673018464           50.3155138593474           12530089+5018561           1567856203426228224           11.283           12.2904
182.286210241059           19.4781732439132           12090872+1928415           3950982888522975616           11.078           12.3041
13.333251698223           85.1486983335635           00532016+8508553           573937033817744512           11.337           12.3063
168.356988130021           46.2366375592141           11132570+4614127           788427356983674112           10.757           12.3129
102.571294449522           -5.79488030255449           06501711-0547415           3101860398047831808           10.208           12.313
9.97264053755237           84.5187266861835           00395336+8431073           573519322479597696           11.436           12.317
15.3872881987488           84.2696933744121           01013286+8416108           573334020409521280           10.633           12.3173
195.263119139902           26.7949189532081           13010317+2647418           1460392135950848896           11.27           12.3206
198.512527337397           39.648243450713           13140302+3938537           1523269117134188544           11.49           12.3248
230.963778481008           44.1405387669012           15235133+4408259           1394343750915078656           10.974           12.3257
52.8512285130549           46.3359627196586           03312428+4620095           242062054700092160           9.693           12.3323
223.348808801237           46.949618284611           14532370+4656589           1590353860597172224           10.746           12.3343
206.533536140842           26.837004808517           13460807+2650132           1451408610554676352           10.975           12.339
284.796918817995           45.0990745584669           18591126+4505567           2106751007097870976           11.013           12.3533
206.571279558103           28.4494674173908           13461710+2826582           1451844910512595328           11.015           12.3533
177.438210280975           51.5513104583134           11494516+5133050           791350717883920768           10.643           12.3534
123.415977347646           28.5119116116515           08133983+2830428           684307694640496128           10.919           12.3594
53.2579004361963           -5.22677795431494           03330186-0513360           3247617225696438656           11.333           12.3608
78.1269122331462           25.270062353977           05123044+2516125           3420576795657723392           10.5           12.3646
102.80054833499           -5.162034938829           06511213-0509433           3101969902534274560           10.656           12.3792
241.280009345852           26.891967160099           16050718+2653310           1316331064462927104           11.152           12.3877
257.992546981636           34.8583036308294           17115823+3451300           1335175766050054272           11.386           12.4235
246.352299563359           30.3759469231441           16252457+3022334           1318300805183660160           10.927           12.4265
232.047109625712           6.50154123645066           15281129+0630056           1162525536813060096           11.335           12.4298
240.858710913793           7.45700929916946           16032607+0727252           4450951716396830848           11.039           12.4348
78.4979181172966           23.3618491288913           05135949+2321425           3415749080618772608           10.348           12.4415
